Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
TDG,TransDigm Group,Industrials,259.46,0.00,29.86,8.69,-18.16,180.76,268.00,13.75,1.33,4.58,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG
RIG,Transocean,Energy,11.31,0.00,2.72,4.16,40.42,7.67,17.48,4.13,2.51,0.64,0.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RIG
TRIP,TripAdvisor,Consumer Discretionary,63.08,,56.88,1.11,10.05,53.48,94.00,9.19,0.233,6.33,6.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIP
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,28.80,1.04,25.26,1.14,7.60,22.66,34.70,54.55,6.35,2.05,3.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,28.70,1.05,25.18,1.14,7.60,22.65,33.66,54.36,6.35,2.04,3.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOX
TYC,Tyco International,Industrials,42.99,1.91,41.38,1.04,9.75,28.94,43.84,18.29,1.57,1.90,4.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TYC
TSN,Tyson Foods,Consumer Staples,61.22,0.98,16.56,3.70,25.19,39.05,70.44,23.80,3.51,0.61,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN
USB,U.S. Bancorp,Financials,41.11,2.48,13.01,3.16,23.82,37.07,46.26,70.97,0.00,3.81,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
UDR,UDR Inc,Financials,34.86,3.38,33.20,1.05,10.95,30.03,38.61,9.31,0.5551,10.21,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UDR
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,238.04,0.00,44.16,5.39,21.07,120.38,240.83,14.87,0.72085,3.63,11.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ULTA
UA,Under Armour,Consumer Discretionary,37.22,,69.70,0.53,2.66,31.61,52.94,32.53,0.53372,7.57,13.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA
UNP,Union Pacific,Industrials,87.58,2.51,16.35,5.36,24.35,67.06,102.74,73.66,9.79,3.48,3.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
